Site ID,Site Name,Type,Lat,Lon,State,Primary ASOS,Secondary ASOS,Notes
PABC,"Bethel, AK",WSR88D,60.792,-161.877,AK,PABE,PPIT,
PAPD,"Fairbanks/Pedro Dome, AK",WSR88D,65.035,-147.501,AK,PAFA,PAFB,
PAHG,"Kenai, AK",WSR88D,60.726,-151.351,AK,PAEN,PASX,
PAKC,"King Salmon, AK",WSR88D,58.679,-156.629,AK,PAKN,PAIG,Secondary Distant
PAIH,"Middleton Island, AK",WSR88D,59.462,-146.301,AK,PAMD,PACV,Secondary Distant
PAEC,"Nome, AK",WSR88D,64.511,-165.295,AK,PAOM,PATE,
PACG,"Sitka/Biorka Island, AK",WSR88D,56.852,-135.552,AK,PASI,PAGN,
KBMX,"Birmingham, AL",WSR88D,33.172,-86.770,AL,KEET,KEKY,
KEOX,"Fort Novosel, AL",WSR88D,31.461,-85.459,AL,KDHN,KHEY,
KHTX,"Huntsville, AL",WSR88D,34.931,-86.084,AL,K4A6,KBGF,
KMXX,"Maxwell AFB, AL",WSR88D,32.537,-85.790,AL,KAUO,KALX,
KMOB,"Mobile, AL",WSR88D,30.680,-88.240,AL,KMOB,KBFM,
KSRX,"Fort Smith, AR",WSR88D,35.290,-94.362,AR,KFSM,KRKR,
KLZK,"Little Rock, AR",WSR88D,34.837,-92.262,AR,KORK,KLIT,
KFSX,"Flagstaff, AZ",WSR88D,34.574,-111.198,AZ,KPAN,KSEZ,Terrain
KIWA,"Phoenix, AZ",WSR88D,33.289,-111.670,AZ,KIWA,KCHD,
KEMX,"Tucson, AZ",WSR88D,31.894,-110.630,AZ,KTUS,KDMA,Terrain
KYUX,"Yuma, AZ",WSR88D,32.495,-114.657,AZ,KYNL,KNOZ,
KBBX,"Beale AFB, CA",WSR88D,39.496,-121.632,CA,KOVE,KBAB,
KEYX,"Edwards AFB, CA",WSR88D,35.098,-117.561,CA,KEHW,KMHV,
KBHX,"Eureka, CA",WSR88D,40.499,-124.292,CA,KACV,KFOT,
KVTX,"Los Angeles (Oxnard), CA",WSR88D,34.412,-119.180,CA,KCMA,KOXR,
KDAX,"Sacramento, CA",WSR88D,38.501,-121.678,CA,KEDU,KSAC,
KNKX,"San Diego, CA",WSR88D,32.919,-117.042,CA,KNKX,KSEE,
KMUX,"San Francisco, CA",WSR88D,37.155,-121.898,CA,KSJC,KE16,
